University,Date,Student,Quote,Number,Year
Columbia University/Barnard College,4/7/2019,Columbia University Student (Erica),"<p>“I know there is a lot of anti-Semitism on this campus — and unfortunately I’ve witnessed it. Some of the things I’ve heard are just outrageous and the thing is there is a double standard when it comes to what [Students for Justice in Palestine members] see as racist.” <a href=""https://www.haaretz.com/us-news/.premium-israeli-apartheid-week-or-hebrew-liberation-week-it-depends-where-you-stand-1.7090908"" target=""_blank"">Read more</a></p>",810,2019
Cornell University,4/7/2019,Cornell University Jewish & Israeli Student (Shir),"<p>""I was home alone in my room and quickly ran to the shelter we had in our house...  A mere two seconds after I entered the shelter, I heard a loud boom, and felt my home collapse. After leaving the shelter, I saw the rocket had hit my bedroom and killed my dog Rosie. I was only 12 years old... Here at Cornell, the voices supporting BDS are getting more extreme. A letter full of inflammatory rhetoric was sent to President Pollack, while an aggressive campaign launched to pass a divestment resolution in the Student Assembly. This campaign is making Jewish students here on campus feel unsafe and unwelcome."" <a href=""https://cornellsun.com/2019/04/07/guest-room-a-rocket-hit-my-house-now-bds-wants-me-out/"" target=""_blank"">Read more</a></p>",812,2019
University of California Berkeley,4/7/2019,UC Berkeley Pro-Israel Group Statement (Tikvah Students for Israel),"<p>""Today, multiple signs comparing Jews to Nazis were discovered across campus. Making Jews feel unsafe and unwelcome is a form of intimidation, and should not be tolerated. UC Berkeley must seriously examine this dangerous pattern of anti-Jewish rhetoric on campus. We hope that Chancellor Christ will follow through on her promise to take proactive steps to combat the marginalization of Jewish students on campus."" <a href=""https://www.facebook.com/tikvah.berkeley/photos/a.947819548582048/2375691685794820/?type=3&amp;theater"" target=""_blank"">Read more</a></p>",833,2019
New York University,4/5/2019,New York University Pro-Israel Club (Realize Israel),"<p>""We are outraged that the University would award an organization that has spent the last several years making Jewish and pro-Israel students feel unwelcome and unsafe on campus... Over the past year, SJP has led a boycott of Jewish and pro-Israel organizations by 50+ NYU 'student groups'... Members of SJP... physically assaulted pro-Israel students for openly celebrating their identities... By presenting the NYU President’s Award to SJP, not only is our university condoning violence and discrimination against members of the NYU community, but it is declaring that this type of behavior represents the ethos of our university.""  <a href=""https://www.facebook.com/RealizeIsrael/posts/994758114062065"" target=""_blank"">Read more</a></p>",826,2019
Emory University,4/4/2019,Emory University Jewish Student (Melissa),"<p>""This is the exact one [mock eviction flier] that was on my door. I read it. I was crying. I was very upset. I was very upset to see such hateful language, anti-Semitic language that was written on a statement on my door that seemed to have been approved by Emory's administration."" <a href=""http://www.fox5atlanta.com/news/fake-eviction-notices-put-on-emory-university-student-s-doors"" target=""_blank"">Read more</a></p>",808,2019
Emory University,4/4/2019,Emory University Jewish Student (Sophie),"<p>""I think it is concerning it is an invasion of our privacy and security. I know that they were put on everyone['s door], Jewish or not, on Claremont, on campus. I won't say that we feel targeted but we feel just a little violated, and it is an uncomfortable situation to be in."" <a href=""http://www.fox5atlanta.com/news/fake-eviction-notices-put-on-emory-university-student-s-doors"" target=""_blank"">Read more</a></p>",809,2019
Harvard University,4/2/2019,President of Harvard Hillel’s Undergraduate Steering Committee  (Rebecca),"<p>""The contentious nature [of Sunday’s Council meeting] underscores what we see as the troubling consequences of Israeli Apartheid Week itself: vilifying students for their commitments and even their heritages, turning students away from — rather than toward — one another, and preventing meaningful conversation. I had hoped for a respectful discussion, and I thank the Council for their efforts to maintain decorum. Those of us who came from Harvard Hillel were met, however, with angry interjections and unfounded accusations, as well as references to age-old tropes of prejudice and bigotry. I was shocked and disappointed by the way in which students were prevented from expressing their very real concerns because of uncivil interruptions.” <a href=""https://www.algemeiner.com/2019/04/02/jewish-students-at-harvard-university-voice-concerns-over-campus-israeli-apartheid-week/"" target=""_blank"">Read more</a></p>",807,2019
Amherst College,4/2/2019,Amherst College Hillel E-Board,"<p>""Our community is deeply affected and hurt by the use of the swastika, a symbol which is a direct assault on our Jewish identities... Given how closely this event affects members of our particular community on campus, we are frustrated about the administration’s response.  If the administration wants to know how Jewish students feel about an issue, especially one as emotive as a swastika, Hillel’s student leadership should be consulted. To date, there has been no effort from the administration to reach out to Hillel’s executive board regarding the presence of anti-Semitism on this campus."" <a href=""https://amherststudent.com/article/hillel-responds-to-swastika-incident"" target=""_blank"">Read more</a></p>",819,2019
Harvard University,3/31/2019,Harvard University Jewish Student (Gabriel),"<p>“One of the speakers that is slated to come [to PSC's Israeli Apartheid Week], Omar Barghouti, has said that he supports the euthanasia of Zionism. Really, it makes me feel unsafe that this kind of person could come here."" <a href=""https://www.thecrimson.com/article/2019/4/1/uc-funds-iaw/"" target=""_blank"">Read more</a></p>",805,2019
Harvard University,3/31/2019,Harvard University Jewish Student (Ariel),"<p>“One of the main focuses of Israeli Apartheid Week, featured both on their wall and with their speakers, including the founder of the movement is the BDS [boycott, divest, sanction] movement."" <a href=""https://www.thecrimson.com/article/2019/4/1/uc-funds-iaw/"" target=""_blank"">Read more</a></p>",806,2019
University of Vermont,3/29/2019,University of Vermont Jewish Student (Aaron),"<p>""I was villainized for standing up for Jews."" <a href=""https://blogs.timesofisrael.com/the-isolation-of-being-pro-israel-on-the-modern-campus/"" target=""_blank"">Read more</a></p>",804,2019
University of Houston,3/28/2019,University of Houston Jewish Student (Unidentified in article),"<p>[A Jewish student expressed concern to a journalist that anti-Israel political expression has crossed the line into hate speech and the problem is so pronounced that she has previously reported it to UH administration] - “It makes me feel not safe on campus."" <a href=""http://jhvonline.com/jewish-reporter-harassed-while-covering-demonstration-at-university-of-hous-p25756-96.htm"" target=""_blank"">Read more</a></p>",800,2019
University of Houston,3/28/2019,A Non-Jewish Student from Mexico Observing an Interaction Between a Jewish Reporter and SJP Members,"<p>“The [Israeli Apartheid Wall] display talks about [Palestinian] land loss. But, it was very interesting to see how he [the organizer in the red Coogs4Palestine T-shirt] looked at you and shouted that you’re the person against what they’re standing for. All you said is you’re writing for a Jewish newspaper. It’s funny how they see the Jewish people as an enemy.” <a href=""http://jhvonline.com/jewish-reporter-harassed-while-covering-demonstration-at-university-of-hous-p25756-96.htm"" target=""_blank"">Read more</a></p>",801,2019
Simmons University,3/28/2019,Simmons University Jewish Student (Rachel),"<p>""When I got to Simmons, I realized that not only do college kids say anti-Semetic things all the time, so do some of the professors."" <a href=""https://simmonsvoice.com/9915/opinion/im-not-anti-semitic-i-have-jewish-friends/"" target=""_blank"">Read more</a></p>",802,2019
University of Houston,3/28/2019,University of Houston Jewish Student (Barrie),"<p>“I’ve had many moments of insecurity about sharing my religious identity or political beliefs in classrooms and in social settings. I won’t wear Hebrew letters on T-shirts or Israel buttons on my backpack. I struggle with telling people I’m involved in Hillel and what that means, or that my favorite place to visit is Israel, because I don’t know how they’ll react... As a Jewish student who loves Israel, Israeli Apartheid Week shakes me to my core. To watch a group of fellow students, people who should embody tolerance and acceptance on a campus that prides itself on diversity, scream at you to ‘go home’ is an experience I don’t wish upon anyone. I’d never experienced anti-Semitism like this before college. I never imagined this would be my reality."" <a href=""http://jhvonline.com/how-responding-to-israeli-apartheid-week-creates-safe-space-for-jewish-an-p25782-159.htm"" target=""_blank"">Read more</a></p>",813,2019
Claremont Colleges - Pitzer,3/27/2019,Pitzer College Jewish Students (Zachary and Claire),"<p>""After Pitzer’s College Council made the highly contentious decision to recommended the suspension of the school’s study abroad program with the University of Haifa in Israel March 14, Pitzer President Melvin Oliver chose not to accept the council’s recommendation. While we applaud Oliver’s decision, we want to address the gravity of the council’s decision and its impact on Pitzer, the 5Cs and Jewish students everywhere... Of course, not every person who supported the motion or decried Oliver’s decision harbors ill intentions toward Israel or Jews. We believe many are well-intentioned and wish to support peaceful initiatives to spur change in a stagnant, exhausting conflict. However, singling out Israel, targeting Jewish students on campus and refusing to listen to concerned members of the community is exactly the wrong way to go about it."" <a href=""https://tsl.news/opinion-suspend-haifa-is-a-rallying-cry-of-intolerance/"" target=""_blank"">Read more</a></p>",803,2019
University of Illinois Urbana Champaign,3/25/2019,University of Illinois Urbana Champaign Jewish Student (Hayley),"<p>""The ISG emboldened anti-Semitism on this campus, silenced Jewish students and voted directly against the Jewish community by passing a resolution that it was told explicitly did not address anti-Semitism."" <a href=""https://dailyillini.com/opinions/2019/03/25/isg-emboldens-anti-semitism-on-campus/"" target=""_blank"">Read more</a></p>",796,2019
University of Illinois Urbana Champaign,3/25/2019,University of Illinois Urbana Champaign Jewish Student and 2018 Illini Hillel President (Irene),"<p>“The Jewish students on this campus have seen swastikas in the bathroom of the mathematics building, while studying (outside the Undergraduate Library) and while getting drinks with friends (at Red Lion).” <a href=""https://dailyillini.com/opinions/2019/03/25/isg-emboldens-anti-semitism-on-campus/"" target=""_blank"">Read more</a></p>",797,2019
University of Illinois Urbana Champaign,3/25/2019,University of Illinois Urbana Champaign Jewish Student and VP of the Chabad Center (Michael),"<p>“Living in Allen Hall freshman year, I had a mezuzah — a ritual object that Jews place on their doorposts — ripped off of my door by another resident. This happened once again at my apartment this past weekend.” <a href=""https://dailyillini.com/opinions/2019/03/25/isg-emboldens-anti-semitism-on-campus/"" target=""_blank"">Read more</a></p>",798,2019
University of Illinois Urbana Champaign,3/25/2019,University of Illinois Urbana Champaign Jewish Student (Michael),"<p>“Please listen to me when I tell you that what you are doing is hurting the Jewish community because I cannot stress it enough.” <a href=""https://dailyillini.com/opinions/2019/03/25/isg-emboldens-anti-semitism-on-campus/"" target=""_blank"">Read more</a></p>",799,2019
Brown University,3/22/2019,Brown University Student Leader (Jesse),"<p>""As predicted, the Brown Divest vote polarized the student body, induced incidents of hate through online forums and created a hostile environment for pro-Israel students."" <a href=""https://www.jns.org/brown-university-students-pass-bds-referendum-against-israel/"" target=""_blank"">Read more</a></p>",794,2019
El Camino College,3/22/2019,El Camino College Jewish Student (Ariella),"<p>“I feel scared and I feel angry [after knowing about a swastika found drawn on campus]. I think that it should be considered a hate crime because it’s instilling fear in people.” <a href=""https://eccunion.com/news/2019/03/22/swastika-discovered-inside-art-building-elevator/"" target=""_blank"">Read more</a></p>",795,2019
Cornell University,3/19/2019,Cornell University Student Hillel President (Jillian),"<p>“President Pollack [addressed] why [BDS] does not belong on our campus. [She] rightly point[ed] out that BDS does not lead to peace.” <a href=""https://cornellsun.com/2019/03/19/student-groups-s-a-candidates-address-pollacks-bds-response/"" target=""_blank"">Read more</a></p>",793,2019
Brown University,3/18/2019,Brown University Students (Members of the Beta Rho Pi fraternity),"<p>“...we can’t help but notice that the world’s only Jewish state is held to a higher standard than all others. As members of a Jewish organization, we feel obliged to speak out and describe our own discomfort with the proliferation of this sentiment at Brown. This has been especially difficult with the rise of the Brown Divest campaign, including the construction of the ‘Apartheid Wall’ on the Main Green and a litany of inflammatory posts online aimed at the Jewish community. These posts have normalized rhetoric on campus that makes us, and many members of Brown’s Jewish community, feel deeply uncomfortable.” <a href=""https://www.jns.org/brown-university-students-blast-upcoming-referendum-calling-on-school-to-divest-from-israel/"" target=""_blank"">Read more</a></p>",792,2019
St. Olaf College,3/14/2019,St. Olaf College Jewish Student (Evan),"<p>""Judaism lacks independence and acknowledgment as a faith, ethnicity or culture on St. Olaf’s campus, and thus our identities are in danger of erasure. Jewish people continue to fade away from the cultural fabric of societies, and it is only a matter of time until we disappear completely."" R<a href=""https://www.manitoumessenger.com/2019/ewish-identity-made-invisible-at-st-olaf/"" target=""_blank"">ead more</a></p>",791,2019
University of California Davis,3/13/2019,UC Davis Jewish Student (Arielle),"<p>""It is up to the vast majority of the marginalized community to define what is and is not hateful towards their community. Just like Latinos for Trump does not represent the views of the overwhelming majority of the Latinx community, neither does JVP for Jews... To speak over members of the Jewish community on the issue of Jewish oppression and tokenize a fringe group is itself anti-Semitic paternalism."" <a href=""https://theaggie.org/2019/03/13/guest-uc-davis-must-involve-jewish-students-in-conversations-about-anti-semitism-on-our-campus/"" target=""_blank"">Read more</a><span></span></p>",789,2019
University of California Davis,3/13/2019,UC Davis Jewish Student (Arielle),"<p>""I myself have experienced anti-Semitism throughout high school and college. If you speak with me, you will know I am Jewish very early on in our conversation. Growing up, so many Yiddish and Hebrew words were included in family conversations that to this day, I still have trouble distinguishing these languages from English words. Unfortunately, like for so many other Jews, it is makes me an easier target, as it is clear I belong to a marginalized community. It is my hope that the UC Davis community will involve Jewish students like me in the conversation of how anti-Semitism is defined on our campus and how it should be addressed so we are not sidelined in the conversation once again."" <a href=""https://theaggie.org/2019/03/13/guest-uc-davis-must-involve-jewish-students-in-conversations-about-anti-semitism-on-our-campus/"" target=""_blank"">Read more</a></p>",790,2019
Swarthmore College,3/12/2019,Swarthmore College Jewish Student (Matt),"<p>""What could be more disturbing to a Jewish student than to read that the SGO should 'strive' to hold spectacularly uncivil meetings that contain overt elements of antisemitism?"" <a href=""https://www.algemeiner.com/2019/03/12/bds-at-swarthmore-a-shameful-display-of-antisemitism/"" target=""_blank"">Read more</a></p>",787,2019
Claremont Colleges - Pitzer,3/12/2019,Pitzer College (Claremont  Independent Editorial Board),"<p>""... just as we stand for absolute academic freedom across the Claremont Colleges, so too do we stand in defense of the study abroad program at Haifa... The Editorial Board of the Claremont Independent implores the Pitzer College Council to vote against this measure, and we implore students to stand up and speak out. Pitzer students, this boycott is your educational opportunities that will be stunted. Even if you never plan on studying abroad in Israel, will you allow your peers to have this opportunity taken away? As students, we have an obligation to defend our academic freedom and have an obligation to defend the academic freedom of our colleagues."" <a href=""https://claremontindependent.com/pitzer-should-not-suspend-israel-study-abroad-editorial/"" target=""_blank"">Read more</a></p>",788,2019
Columbia University/Barnard College,3/11/2019,Barnard College Jewish Student (Sarah),"<p>“The time period during the Barnard SGA BDS vote [was] the most emotionally challenging parts of my college career. Never before had I felt so unsafe in my own environment. I did not feel safe walking around wearing my Jewish star like I had for the past 2.5 years.” <a href=""https://www.columbiaspectator.com/news/2019/03/11/ccsc-votes-down-bds-referendum-by-secret-ballot-following-4-hours-of-tense-debate-2/"" target=""_blank"">Read more</a></p>",785,2019
Columbia University/Barnard College,3/11/2019,Columbia University Jewish Student (Gidon),"<p>""CCSC voted on the very same question—whether to put BDS to a referendum—two short years ago. In all likelihood, they will be forced to vote on it again and again until it passes by brute force. I used to feel safe, trusting that even if members of the council would feel comfortable privately voting to alienate the majority of Jewish students, they would not do so publicly. Now that CCSC has used a secret ballot, I can no longer feel safe. In the future, CCSC could vote to alienate a minority community—mine or another—and not be held accountable. After all, Antisemitism thrives in anonymity."" <a href=""https://www.columbiaspectator.com/opinion/2019/03/12/i-am-a-pro-israel-former-aryeh-board-member-and-i-am-embarrassed-by-ccscs-vote/"" target=""_blank"">Read more</a></p>",786,2019
Cornell University,3/8/2019,Cornell University Jewish Student (Avraham),"<p>""The Boycott, Divestment, and Sanctions campaign against the Jewish state officially returned to campus last month, after being defeated in 2014. On Feb. 18, SJP announced the start of its #CornellDivest initiative, describing my homeland as 'morally reprehensible.' Two days later, SJP chose division over dialogue by threatening to come after Israel using the 'names and addresses' of her supporters. SJP then publicized its divestment letter to President Pollack. Riddled with inaccuracies and vitriolic language, the letter and its corresponding Facebook caption ignore Jewish indigeneity to Palestine and engender hatred towards pro-Israel Cornellians, such as myself... I extended an olive branch to 'well-meaning critics of Israel.' This olive branch was beaten to a pulp as SJP has carried on with its vilification of the Jewish state. The current hate-filled BDS campaign is their latest iteration."" <a href=""https://cornellsun.com/2019/03/07/guest-room-rejecting-boycott-extending-an-olive-branch/"" target=""_blank"">Read more</a></p>",781,2019
Wake Forest University,3/8/2019,Wake Forest University Jewish Student (Anonymous),"<p>“As a Jewish student, I have never felt like my voice has ever been represented through the faculty and staff of the university and tonight is direct evidence of why that is. I am ashamed to consider myself a part of a university whose Chair on Jewish History [Barry Trachtenberg] allows blatant slander and false facts to be posted on campus.” <a href=""https://www.algemeiner.com/2019/03/08/wake-forest-jewish-students-protest-exclusion-from-campus-antisemitism-panel-decry-antisemitic-messages-promoted-during-palestine-solidarity-week/"" target=""_blank"">Read more</a></p>",784,2019
Swarthmore College,3/7/2019,Swarthmore College Jewish Student (Matthew),"<p> “There were already many Jewish students and a couple of non-Jewish students who spoke to me personally, who were admitted to the school and decided not to come because of the anti-Israel climate, which can often be antisemitic. I think this is an extreme [escalation] now that Swarthmore is in the news for all this BDS stuff and Swarthmore student government now officially endorses BDS. I don’t think we’re going to have any Jews who support Israel on this campus in the next few years.” <a href=""https://www.algemeiner.com/2019/03/07/swarthmore-college-students-endorse-bds-following-campaign-calling-for-palestinian-state-from-the-river-to-the-sea/"" target=""_blank"">Read more</a></p>",782,2019
Colgate University,3/7/2019,Colgate University Jewish student and former President of the Colgate Jewish Union/Hillel (Emily),"<p>“Cheney-Lippold’s presence at Colgate is very upsetting to many Jewish and/or Zionist students, as well as anyone who believes in academic or professional integrity. I am very disappointed that the lecture was rescheduled to the afternoon before Purim. It puts a damper on what is supposed to be one of the most celebratory days of the year. In the future, [I] advise members of the Colgate community to be more considerate of the Jewish calendar when scheduling events.” <a href=""http://www.thecolgatemaroonnews.com/multimedia/article_ce323618-408a-11e9-88b4-afe3d9c76cb1.html"" target=""_blank"">Read more</a></p>",783,2019
CUNY Brooklyn College,3/6/2019,CUNY Brooklyn College Jewish Student  (Aliyah),"<p>""While I do not claim that Israel is perfect, I believe in its right to exist and my right to express this as a pro-Israel student without being harassed or violently discriminated against... As a Jewish college student in New York City, I see the rise of anti-Semitism that follows BDS resolutions being passed and that worries me."" <a href=""http://bcexcelsior.com/nyu-a-hostile-place-for-jewish-students/"" target=""_blank"">Read more</a></p>",780,2019
Cornell University,3/4/2019,Cornell University Student Letter in Opposition to BDS Campaign,"<p>""We are concerned that language being used in this [BDS] campaign may devolve into the targeting of Jews and the Jewish community on this campus, as it has on others. Cornell SJP has likened Zionist ideology to white supremacy and Nazism. That is a dangerous fallacy, designed to isolate the Jewish community and link us to the same hateful movement that targets Jews in attacks like the Pittsburgh synagogue shooting. This kind of rhetoric creates an environment in which Jewish students feel unsafe and unwelcome on campus."" <a href=""https://cornellsun.com/2019/03/04/letter-to-the-editor-a-call-against-boycott-divestment-and-sanctions/"" target=""_blank"">Read more</a></p>",779,2019
Wake Forest University,3/1/2019,Wake Forest University Jewish Student & SSI President (Phillip),"<p>“For years, anti-Semitism at WFU was bubbling just under the surface. Professor [Charles] Kennedy’s infamous class on the Middle East has been discussed endlessly. Jewish students are warned to not take the class because it is so incredibly biased. Multiple WFU professors have signed on to BDS, which is a movement with the aim of destroying the Jewish state. The list could go on..."" <a href=""https://www.jns.org/hillel-international-tells-wake-forest-jewish-students-to-lay-low-during-anti-israel-week/"" target=""_blank"">Read more</a></p>",778,2019
Wake Forest University,2/28/2019,Wake Forest University Jewish Student & SSI President (Phillip),"<p>“Many students might feel frustrated with messages [on a mock wall] that openly support terror on campus like ‘resistance isn’t terrorism.' We are all aware of the results that the Second Intifada and rockets from Gaza brought on Israel.” <a href=""https://www.algemeiner.com/2019/02/27/palestine-solidarity-week-at-wake-forest-university-drawn-concern-from-zionist-jewish-students/"" target=""_blank"">Read more</a></p>",777,2019
Colby College,2/28/2019,Colby College Student (Jason),"<p>""There’s been a swastika every year for at least the past eight years at Colby and people need to know that this isn’t just a one time thing but a [expletive] problem that Colby has. Let me just make this clear, this is not ok, and this is not normal. It is not normal for there to be a Swastika drawn every year at Colby. It’s not normal for there to have been a 15 foot by 15 foot Swastika drawn in the snow [last year]. I thought we were supposed to have ‘Stamped out hate’ following that. Why is this still happening. Why is this still happening when anti-Semitic incidents got so scary at Colby in 1994 that the FBI had to investigate them."" <a href=""https://medium.com/colby-echo/campus-community-outraged-after-swastika-discovered-in-dana-2d94dcd3abff"" target=""_blank"">Read more</a></p>",970,2019
Swarthmore College,2/27/2019,Swarthmore College Jewish Student (Matthew),"<p>""[The] anti-Israel, often anti-Semitic, environment at Swarthmore already makes it a difficult place to be proudly Jewish. [I] personally know several admitted students who declined to attend Swarthmore due to that environment.” <a href=""https://www.campusreform.org/?ID=11920"" target=""_blank"">Read more</a></p>",776,2019
College of William and Mary,2/26/2019,College of William and Mary Jewish Student (Naomi),"<p>“I was quite scared knowing that there could be someone here that wants me dead because of my religion. Of course, I’m aware of growing anti-Semitism on college campuses but it still really shocked me to hear about this happening at William and Mary. While I still feel safer here than a lot of my Jewish friends at other college campuses, the posters were a reality check at the same time.” <a href=""http://flathatnews.com/2019/02/26/police-students-react-to-antisemitic-and-anti-lgbtqia-posters-found-in-academic-buildings-on-campus/"" target=""_blank"">Read more</a></p>",775,2019
CUNY Kingsborough Community College,2/24/2019,CUNY Kingsborough Community College Professor & Administrator (Prof. Goldstein),"<p>""[I am] the victim of a systematic and pernicious campaign in which I have been targeted and harassed because of who I am and what I believe... [The] reason [is that I am] Jewish, politically conservative and I believe in Zionism, the civil rights movement of the Jewish people.” <a href=""http://thejewishvoice.com/2019/02/24/anti-semitic-group-on-cuny-campus-turns-jewish-professors-life-into-hell/"" target=""_blank"">Read more</a></p>",773,2019
CUNY Kingsborough Community College,2/24/2019,CUNY Kingsborough Community College Professor & Administrator (Prof. Goldstein),"<p>""They’ve stripped me of my humanity this year. They destroyed me. I’m half the man that I was. I have sleepless nights. Every student I look at, I think they’re going to attack me. I don’t even leave my office. They’ve isolated me. I have to walk around campus with a public safety officer... They’ve legitimized anti-Semitism."" <a href=""http://thejewishvoice.com/2019/02/24/anti-semitic-group-on-cuny-campus-turns-jewish-professors-life-into-hell/"" target=""_blank"">Read more</a></p>",774,2019
Duke University,2/21/2019,Duke University Jewish Student (Spencer),"<p>""I’ve found that people, especially on Duke’s campus, are quicker to criticize claims of anti-Semitism than they are to try to empathize with them."" <a href=""https://www.dukechronicle.com/article/2019/02/on-ilhan-omar-anti-semitism-and-israel"" target=""_blank"">Read more</a></p>",772,2019
Duke University,2/20/2019,Duke University Jewish Student (Davin),"<p>""...it is totally illegitimate for a group of non-Jewish individuals to define anti-Semitism for the rest of us. It is shameful and offensive that the [Duke Chronicle editorial] board believes it has the right to decide what does and does not constitute anti-Semitism. I hope everyone, regardless of religion or ideology, can recognize why it is entirely inappropriate and unacceptable for a group that has never been subjected to anti-Semitism to dictate the terms of Jewish suffering."" <a href=""https://www.dukechronicle.com/article/2019/02/never-again-calling-out-the-editorial-boards-anti-semitism"" target=""_blank"">Read more</a></p>",771,2019
Bucknell University,2/14/2019,Bucknell University Jewish Student (Daniela),"<p>""I felt [during the talk] like [Peled] was saying that if you supported Israel you were inherently racist and automatically supported violence. As a Jew on campus, I felt very uncomfortable.” <a href=""https://bucknellian.net/90380/news/miko-peled-gives-controversial-lecture-at-university/"" target=""_blank"">Read more</a></p>",770,2019
Tufts University,2/13/2019,Tufts University Granoff Family Hillel Center Executive Director (Rabbi Brawer) [After discovering posters depicting militarized pigs on the Hillel building],"<p>""Some of the signs were pasted on the Hillel windows facing inwards, as if to send a message 'to those inside the building... We were clearly targeted as a Jewish center.'"" <a href=""https://tuftsdaily.com/news/2019/02/13/posters-incendiary-images-anti-israel-messages-deface-tufts-hillel/"" target=""_blank"">Link 1</a></p>",769,2019
Bucknell University,2/8/2019,Bucknell University Jewish Student (Jake),"<p>“The University is right to allow a speaker to discuss the geopolitics of Israel and Palestine, but by choosing to allow one that builds his argument on blatantly racist and willfully ignorant claims, it failed to properly educate its students and supported the hate that sometimes makes me afraid to be Jewish."" <a href=""https://bucknellian.net/90156/opinion/miko-peled-where-to-draw-the-line/"" target=""_blank"">Read more</a></p>",768,2019
University of North Carolina Chapel Hill,2/1/2019,University of North Carolina Chapel Hill Jewish Student (Ariel),"<p> “As a Jewish student, I would be hesitant to attend any conference in which the keynote speaker has used platforms unrelated to Israel to denounce the Jewish state. I agree with North Carolina Hillel’s statement that Linda Sarsour’s previous attacks on Israel and its supporters run counter to the goals of the School of Public Health’s Minority Student Caucus, which aims to bring people together. In this setting, Jewish students are having to choose between their passion for public health and their support for Israel. All students should feel welcome and safe at all campus events.” <a href=""http://www.thetower.org/7133-sarsour-invite-rattles-jewish-unc-students/"" target=""_blank"">Read more</a></p>",767,2019
University of California Davis,1/11/2019,UC Davis Jewish Student (Arielle),"<p>“I’ve had professors say not great things about Jews and money and making the stereotype and reinforcing it."" <a href=""https://theaggie.org/2019/01/11/following-anti-semitic-incident-plans-to-host-workshops-town-hall-still-on-hold/comment-page-1/#comment-1005133"" target=""_blank"">Read more</a></p>",766,2019
Oberlin College,1/8/2019,Oberlin College Jewish 2017 Alumna (Julia),"<p>“The first time I ever felt uncomfortable being Jewish was as a student in Oberlin College. My freshman year started on an ominous note. I recall talking with a senior in my dorm, and incidentally brought up our shared Jewish heritage. ‘It’s terrible to be Jewish here,’ she said, without skipping a beat. ‘You always have to prove you’re a good Jew. The good Jews have to be anti-Zionist.’” <a href=""https://www.algemeiner.com/2019/01/08/antisemitism-and-the-decline-of-oberlin-college/"" target=""_blank"">Read more</a></p>",764,2019
University of Michigan,12/26/2018,University of Michigan Jewish Student (Jessica),"<p>""Last December, the Central Student Government passed an anti-Semitic-tinged proposal authored by SAFE, the University’s Students for Justice in Palestine’s chapter; it called on the university to investigate divestment from companies that do business with Israel. Though the proposal was soundly rejected by administration, anti-Semitic incidents on campus followed."" <a href=""https://jewishweek.timesofisrael.com/anti-semitism-is-that-you/"" target=""_blank"">Read more</a></p>",762,2018
University of Michigan,12/26/2018,University of Michigan Jewish Student (Jessica),"<p>""Recently, I attended an event on campus titled 'CMENAS Teach-In Town Hall: What is BDS? And Why Does it Matter?' I went there to learn more about the diverse opinions that surround this deeply complex topic and engage in a meaningful conversation about BDS. Instead, I learned why anti-Semitism is surging on this campus."" <a href=""https://jewishweek.timesofisrael.com/anti-semitism-is-that-you/"" target=""_blank"">Read more</a></p>",763,2018
Columbia University/Barnard College,12/17/2018,Columbia University Jewish Student (Gidon),"<p>“Jews on campus were already feeling a little bit uncomfortable. And then this was a really overt sign that this stuff exists close to home.” <a href=""https://www.theguardian.com/us-news/2018/dec/17/columbia-university-antisemitic-graffiti-jewish-professor-email"" target=""_blank"">Read more</a></p>",760,2018
Claremont Colleges - Pomona,12/14/2018,Pomona College Jewish Student (Sam),"<p>“I find it frustrating that all Jewish issues have become so politicized on our campus. Students feel like they can’t be active as Jews, even with something as simple as having Shabbat, without being forced into getting involved in politics, especially with this controversial issue that often gets very personal if you don’t hold a certain narrow set of beliefs. It has a chilling effect on the Jewish community on a campus which prides itself on helping communities express themselves."" <a href=""https://www.jns.org/memorial-for-pittsburgh-synagogue-victims-vandalized-at-pomona-college/"" target=""_blank"">Read more</a></p>",758,2018
Claremont Colleges - Pomona,12/14/2018,Pomona College Jewish Student (Hallie),"<p>“The biggest problem is that aside from a handful of outraged Jewish students, nobody is talking about this. Not our administrations, not our school newspapers, not our campus minority groups; no one. What stings the most is that whenever any other minority group is targeted in some way, all five of our colleges are buzzing with conversation, with statements of condemnation, with student-written articles and with support resources. However, it is [always] a double standard whenever Jews are the subject of a hate crime or discriminatory act.” <a href=""https://www.jns.org/memorial-for-pittsburgh-synagogue-victims-vandalized-at-pomona-college/"" target=""_blank"">Read more</a></p>",759,2018
Claremont Colleges - Pomona,12/14/2018,Pomona College Jewish Student (Jacob) ,"<p>""If you want a visual definition for the new form of antisemitism, à la Corbyn, look no further than Walker Wall: dismissing the increasing number of antisemitic incidents and attacks in the US and the Western world by suggesting that any attempt to call attention to antisemitism is an attack on Palestinians. Of course, there is criticism of Israel that is not antisemitic. However, if a person believes that antisemitism is justified or should be dismissed because of the Israel-Palestine conflict, that is clearly antisemitic. Importantly, the original message was not a statement about Israel or Palestine; it was an attempt to spread awareness of an increase in attacks against Jews and antisemitic dialogue in today’s world. Its message has proved true."" <a href=""https://claremontindependent.com/anti-semitism-awareness-mural-covered-by-palestinian-flag/"" target=""_blank"">Read more</a><span></span></p>",761,2018
