University,Date,Statement Addressed,Statement
Vanderbilt University,6/7/2021,Harassment,"<p>Chancellor Diermeier, Provost Wente and Vice Chancellor for Equity, Diversity and Inclusion Dr. Andre L. Churchwell released a <a href=""https://news.vanderbilt.edu/2021/06/07/a-message-from-university-leaders-about-supporting-our-jewish-community/"" target=""_blank"">statement</a>, ""about supporting our Jewish community"" that stated, ""Amid the enduring conflict between Israelis and Palestinians, there have been numerous reports of anti-Semitic attacks across the United States, an uptick documented by the Anti-Defamation League and others. These come against a tragic and already tense backdrop of mass killings and hate crimes that have taken place at American synagogues in recent years. We have begun investigations into reports of threats and hate speech in online activity within the Vanderbilt community and will take swift action to address these issues... As One Vanderbilt, we must stand with each and every member of our Jewish community. Please know that any act of harassment, hatred or violence—whether through action or language, in person or online—stands in direct opposition to Vanderbilt’s values of equity, diversity and inclusion and will not be tolerated. These recent incidents serve as a reminder that we have an increased responsibility to listen thoughtfully to one another and to support and protect every member of our community. We need to stay committed to our university culture where we can discuss and debate even the most controversial issues without demonizing each other.""
</p>"
Wayne State University,6/3/2021,General Antisemitism,"<p>President Wilson released a <a href=""https://i.wayne.edu/view/60b9240d45e3e"" target=""_blank"">statement</a> that read, ""This week, our Student Senate <a href=""https://www.instagram.com/p/CPn5d7ODXqt/"" target=""_blank"">published</a> a statement regarding the current Israeli/Palestinian conflict on the senate’s social media. The statement was issued after considerable deliberation among the student senators, not all of whom agreed with the position expressed. Some members of the community have assumed that the statement carries the endorsement of the university. It does not. We are a university community, and we support the right to free speech. While we support the right of our students to express views important to them, I regret their use of some needlessly inflammatory terminology. We must treat each other with civility and respect. Some of their words did not do that.""
</p>"
University of Oregon,6/2/2021,General Antisemitism,"<p>President Michael H. Schill released the following <a href=""https://around.uoregon.edu/content/president-schill-condemns-anti-semitic-violence-harassment"" target=""_blank"">statement</a> condemning antisemitism: ""All too often over the past five years, I have written to the campus community condemning violence and expressions of hatred targeted to particular groups. Today, I write not just as the president of the university, but also as a member of a group that is the object of hatred. Violence against the Jewish people has existed for centuries and in recent years has accelerated with the growth of white supremacy. In the past couple of weeks, fighting in the Middle East has unleashed a new wave of anti-Semitic sentiment — from hateful language scrawled on walls to vicious acts of violence. The Israeli-Palestinian conflict is complex. Whatever your views about this ongoing tragedy, nothing justifies either verbal or physical attacks against innocent people based upon their religion, regardless of whether they believe in Judaism, Islam, Buddhism, Hinduism, Christianity, or something else. We must stand up to hatred against people based on religion, race, national origin, gender and gender expression, or who they love. Throughout history we have learned that silence in the face of evil begets more evil. The end of bigotry and racism starts with each of us, individually, lifting our voices. Please join me in condemning the recent wave of anti-Semitic violence and hatred. Our nation is better than this.""
</p>"
Princeton University,5/25/2021,"General Antisemitism, Harassment","<p>President Eisgruber released a <a href=""https://president.princeton.edu/blogs/presidents-blog-statement-anti-semitic-incidents-campus"" target=""_blank"">statement</a> expressing, ""I now view with deep and personal distress the rising tide of anti-Semitism in this country and the world. Recent weeks have seen a particularly dramatic and distressing spike in anti-Semitic violence and intimidation, much of it related to the violent confrontation in Israel and Gaza. In Princeton, passing motorists have on at least two occasions heckled identifiably Jewish students, accusing them of hostility toward Palestinians. Sharp, intense, and provocative disagreement about Israel and Palestine is fully consistent with the debate that must occur on college campuses. Harassment, heckling, stereotyping, and intimidation are not. Anti-Semitism has a long and ugly history in the world, in this country, and, unfortunately, at Princeton. We must stand steadfastly against it and against all other forms of racism, discrimination, and intolerance. Our scholarly and educational mission and our commitment to improve the world depend on treating one another with respect even when—indeed, especially when—we disagree passionately.""
</p>"
University of Illinois Urbana Champaign,2/11/2021,Harassment,"<p>Sean C. Garrick, Vice Chancellor for Diversity, Equity & Inclusion, issued a <a href=""https://massmail.illinois.edu/massmail/1571361867.html"" target=""_blank"">statement</a> to the community following the egging of an Israeli flag that hung outside a Jewish student's balcony that read, in part, ""As a campus community, we cannot allow disrespectful and hostile acts such as this to happen without comment and condemnation. Anonymous, targeted vandalism of expressions of personal and national identity create a climate of fear and distrust, threatening a sense of inclusion and safety that is foundational to our campus community. It is our responsibility to speak together to say loudly and clearly that this behavior is antithetical to the values of our university, and that anti-Semitism in any form will not be tolerated.""</p>"
University of California Irvine,2/10/2021,BDS,"<p>Following the passage of a divestment <a href=""https://www.asuci.uci.edu/senate/legislation/print/?legislation_number=R56-71"" target=""_blank"">resolution</a> in the student government that demonized Israel throughout with accusations of ""apartheid"", the University released a <a href=""https://news.uci.edu/2021/02/10/campus-statement-asuci-feb9-resolution/"" target=""_blank"">statement</a> expressing, in part, ""The resolution passed last night by an independent student government group, which cites the Israeli-Palestinian conflict and calls for the elimination of certain investments, has no impact on UCI’s operations, does not reflect the university’s views, and is not aligned with the investment policies of the University of California. Chancellor Gillman is already on the record opposing Israel boycotts. The campus has created specific initiatives to address anti-Semitism and anti-Semitic forms of anti-Zionism and has sponsored programs examining the relationship between anti-Semitism and anti-Zionism. UCI’s leadership assures its students and the community that it is committed to providing a welcoming environment for its Jewish students, as well as those of all faiths, and expects discourse that is respectful to all members of our community.""</p>"
Georgia Institute of Technology,1/18/2021,"Harassment, General Antisemitism","<p>The University issued a <a href=""https://news.gatech.edu/2021/01/13/statement-georgia-tech-resolution-department-education-review"" target=""_blank"">statement</a> adopting the IHRA definition of antisemitism <a href=""https://www.algemeiner.com/2021/01/19/georgia-tech-embraces-ihra-definition-on-antisemitism-after-civil-rights-complaint-by-hillel/"" target=""_blank"">following</a> a Department of Education Title VI OCR investigation. The statement expressed: "" Last year, the U.S. Department of Education OCR launched an investigation into an incident involving a Georgia Tech student organization. Georgia Tech is pleased to announce that the parties have reached an agreement and the case is now closed. Respect is a core value at Georgia Tech, and one that we recognize as critical to cultivating an inclusive, diverse, and dynamic campus community. We are committed to fostering thoughtful interaction, global perspective, and intercultural sensitivity, and we maintain a strong equal opportunity, nondiscrimination, and anti-harassment policy that applies to every member of the Institute community. Anti-Semitism and any other forms of discrimination are not acceptable. Georgia Tech recognizes that per the Executive Order on Combatting Anti-Semitism dated December 11, 2019, the U.S. Department of Education considers the International Holocaust Remembrance Alliance’s working definition of Anti-Semitism and contemporary examples when evaluating the intent in cases of discriminatory harassment. Georgia Tech encourages members of our community to learn about the IHRA working definition and contemporary examples. You can find further information <a href=""https://www.holocaustremembrance.com/resources/working-definitions-charters/working-definition-antisemitism"" target=""_blank"">here</a>. It is incumbent upon all of us to work together to ensure that unlawful discrimination and harassment are not welcome at Georgia Tech. Georgia Tech is committed to working collaboratively with Hillel and others to provide a campus community that is free from unlawful discrimination.""</p>"
San Francisco State University,11/24/2020,BDS,"<p>In a <a href=""https://www.jweekly.com/wp-content/uploads/2020/11/Untitled-document.pdf"" target=""_blank"">statement</a> to Associated Students following the <a href=""https://jewishjournal.com/news/325276/sfsu-president-says-she-cant-support-bds-resolution/?fbclid=IwAR1k2LKNhy2SSoeRQ8iRiqxPjJSSqHog3-yDGXbeWXjnzR9QycRisQdMfFc"" target=""_blank"">passage</a> of a BDS resolution, President Lynn Mahoney expressed, in part, ""... I cannot support the Resolution in Support of Divestment from Human Rights Violations, and... I cannot support its implementation...  I regret that the resolution flattens an incredibly complex historical and current geopolitical issue into misleading binaries. Some would have us believe that you are either Pro-Palestinian or Pro-Israel; that you are either an antisemite if you oppose Zionism or a racist if you support it. You can only be for or against. These binaries do not do this issue justice nor do they do justice to us as a University. Binary thinking leaves all of us feeling unsafe and fails to address the complex nuances enmeshed in these fraught issues. To present 'sides' to this discussion, as if one who is pro-Palestinian cannot also believe in Israel’s right to exist or that one who identifies as Zionist cannot also believe in the right of Palestinians to a future state and self-determination, perpetuates the ill-informed concept that these are mutually exclusive positions and identities."" </p>"
University of Illinois Urbana Champaign,11/16/2020,"Harassment, General Antisemitism","<p>UIUC Chancellor Robert Jones co-signed a Joint Statement on Anti-Semitism by University of Illinois at Urbana-Champaign and Jewish United Fund Chicago, Illini Hillel, Hillel International, Illini Chabad, Arnold & Porter, and the Louis D. Brandeis Center for Human Rights Under Law, where <a href=""https://blogs.illinois.edu/view/6231/1530347443"" target=""_blank"">the statement</a> expressed, in part: </p><p>""Anti-Semitic acts and expressions are all too common in our country and in our world, and examples of that intolerance have occurred at this university as well. This is unacceptable. While the university has taken measures in the past to address this problem, the university must do more.</p><p>We acknowledge and affirm our shared belief in the rights of all members of the university community to express their viewpoints, identity and lived experiences. Every student should have the opportunity to have a transformative and positive educational experience from the day they arrive to the day they earn their degree. But acts and expressions of anti-Semitism—in any form—actively undermine the educational process and are in direct opposition to our core values. </p><p>For many Jewish students, Zionism is an integral part of their identity and their ethnic and ancestral heritage. These students have the right to openly express identification with Israel. The university will safeguard the abilities of these students, as well as all students, to participate in university-sponsored activities free from discrimination and harassment. <br /></p><p>We deplore anti-Semitic incidents on campus, including those that demonize or delegitimize Jewish and pro-Israel students or compare them to Nazis. This subjects them to double standards that are not applied to others. All Jewish students, including those who identify with Israel or Jewish campus organizations, should be able to participate in campus activities aimed at fighting racism and achieving social justice.<br /></p><p>All Jewish students should be able to proudly display religious emblems without fear of being targeted by their fellow students. All Jewish students should feel confident that if they encounter a swastika on campus, the university stands with them in rejecting symbols of hate. Anti-Semitism, anti-Semitic forms of anti-Zionism and other forms of discrimination have no place at this university. We will stand united against all forms of anti-Semitism..."" <br /></p>"
University of Illinois Urbana Champaign,9/23/2020,BDS,"<p>Just prior to the holiday of Yom Kippur, the U of I student government passed a resolution in support of the Black Lives Matter movement, that also called on the school to divest from companies doing business with Israel in a 22 to 11, with seven abstentions vote. In response, Chancellor Robert J. Jones issued a statement <a href=""http://studentaffairs.illinois.edu/node/11966"" target=""_blank"">reading</a>, ""Illinois Student Government (ISG) is an independent organization that can pass non-binding resolutions on any topic it chooses. It is unfortunate that a resolution before the group tonight was designed to force students who oppose efforts to divest from Israel to also vote against support for the Black Lives Matter movement... a foundational value of this institution is inclusion, and this resolution includes language that we cannot and will not support.""</p>"
Columbia University/Barnard College,9/29/2020,BDS,"<p>Immediately following a student-body BDS referendum vote at Columbia College, the oldest undergraduate college at Columbia University, which passed, President Lee Bollinger released a <a href=""https://president.columbia.edu/news/president-bollinger-comments-college-student-vote-israel"" target=""_blank"">statement</a>, which expressed, in part, ""I made clear earlier this year that I do not support the referendum. To do so would contradict a long-held understanding that the University should not change its investment policies on the basis of particular views about a complex policy issue, especially when there is no consensus across the University community about that issue. Furthermore, in my view, as I have expressed many times over the years, it is unfair and inaccurate to single out this specific dispute for this purpose when there are so many other, comparably deeply entrenched conflicts around the world. And, finally, I have also raised concerns about how this debate over BDS has adversely affected the campus climate for many undergraduate students in our community.""</p>"
Florida State University,8/12/2020,General Antisemitism,"<p>After a number of antisemitic incidents on campus, President John Thrasher followed up on his commitment to addressing campus antisemitism and released a <a href=""https://news.fsu.edu/news/university-news/2020/08/12/a-message-from-president-john-thrasher-an-update-on-antisemitism-and-religious-discrimination/"" target=""_blank"">statement</a> that read, in part, ""I am writing today to update you on our efforts to address concerns expressed by our Jewish community and others and to reaffirm that Antisemitism and religious discrimination have no home at Florida State University. As a minority group, the Jewish people have faced bias and discrimination and have been marginalized for centuries. It is one of the oldest forms of bigotry and is as intolerable as all forms of hate. The United States, the State of Florida, and Florida State University recognize the International Holocaust Remembrance Alliance (IHRA) working definition of Antisemitism and its contemporary examples. I encourage everyone to educate themselves on the IHRA definition and examples of Antisemitism, as I have done myself. You can read it <a href=""https://www.holocaustremembrance.com/working-definition-antisemitism"" target=""_blank"">here</a>... In July, the FSU Student Body Executive Cabinet adopted the IHRA definition of Antisemitism, and the Student Senate passed Resolution 59, which adopts the IHRA definition of Antisemitism, in line with the Florida Statutes 1000.05(7). The students are to be commended, but we know it is only a first step in addressing needed changes in campus culture... My university leadership team and I will continue to work determinedly to combat Antisemitism and unlawful behavior. While freedom of speech is of paramount importance on a college campus, so is creating a climate of acceptance and appreciation for the value and richness of the many cultures and ideas that make Florida State University such an excellent academic experience.""</p>"
University of Southern California,8/6/2020,Harassment,"<p>Following the resignation letter of a Jewish Vice President of Undergraduate Student Government which cited anti-Zionist harassment as the reason for her resignation, President Folt sent out an <a href=""http://view.comms.usc.edu/?qs=c28c9291e514ba1414161ec37436b7f3730d442a108bc44bf5d351f350ccdecde4360e99c3a3e2f98ed4c2587fd0461e0b6041d73fb50b46762005aeccd35315afdca2a1167165f842810886ddda197a"" target=""_blank"">email</a> to the campus community that stated: ""As you may know, our Vice President of Undergraduate Student Government, Rose Ritch, resigned yesterday from her position in student government. In her heartbreaking resignation letter, Rose described the intense pressure and toxic conditions that led to her decision – specifically the anti-Semitic attacks on her character and the online harassment she endured because of her Jewish and Zionist identities. She also challenged all of us to do better in aligning our actions with our stated desire to have a campus culture that is truly inclusive and respectful of racial and religious diversity, and of different cultural backgrounds and beliefs. As president of USC, I believe it is critically important to state explicitly and unequivocally that anti-Semitism in all of its forms is a profound betrayal of our principles and has no place at the university. We must condemn any bias or prejudice that is based on a person’s race, religion, sexual orientation, or other personal characteristic. What happened to Rose Ritch is unacceptable, and we must all take up her challenge to do better. Despite the significant progress we have made in cultivating and supporting a vibrant Jewish community on campus, we still wrestle with a history of anti-Semitism at USC. Over the last several years, incidents of anti-Semitism in American higher education have dramatically increased, and anti-Semitic attacks remain the most common religiously motivated hate crime in the United States. As a result, this has been an extremely painful period for our Jewish community... We all have a shared responsibility to build a truly inclusive campus culture so that all students feel empowered to lead in student government and student organizations, and that means that we all must denounce and dismantle prejudice and hatred whenever and wherever we encounter it and be a force for good.""</p>"
George Washington University,5/20/2020,BDS,"<p>After concern was expressed concerning the appointment of Ilana Feldman as interim dean of the Elliott School of International Affairs, given her endorsement of academic BDS which, if implemented, would curtail the rights of students and faculty colleagues, Provost and Executive Vice President for Academic Affairs M. Brian Blake <a href=""https://www.scribd.com/document/462630651/George-Washington-letter#from_embed"" target=""_blank"">wrote to</a> the campus community, “We have listened and heard the concerns from some members
of our community about the appointment of Dr. Ilana Feldman, current vice dean
of the Elliott School of International Affairs, as interim dean following the announcement
of Dean Reuben Brigety’s coming departure. The concerns revolve around personal
views that Dr. Feldman has expressed about the Boycott, Divestment, Sanctions
(BDS) movement. The university’s policy on BDS is clear and unambiguous, as has
been the setting of expectations with Dr. Feldman: GW does not support
divestment or other actions called for by BDS. While the university does
support academic freedom for all, members of the administration, including
those in an acting or interim capacity are required to comply with all
university policies, including the policy on BDS, and foster an atmosphere that
allows all voices to be equally heard. To be clear, the university does not tolerate discrimination
in any form, including anti-Semitism and racism…We are working to identify a search firm to aid in the
process of identifying potential candidates. We anticipate that the search
committee will be charged at the beginning of June, with interviews to be conducted
early in the fall semester.”<span></span></p>"
Tufts University,5/17/2020,BDS,"<p>After the student newspaper asked President Monaco the <a href=""https://tuftsdaily.com/news/2020/05/17/qa-monaco-outlines-possible-return-in-fall-reflects-on-turbulent-year/"" target=""_blank"">question</a>, ""You co-wrote a statement last month that expressed disapproval over Tufts Students for Justice in Palestine (SJP) winning the Office for Campus Life’s Collaboration Award, especially with respect to SJP’s support of the Boycott, Divestment and Sanctions (BDS)  movement. How do you respond to the calls from SJP and others for the administration to rescind that statement and issue an apology?"" He answered with, ""I think the statement that I co-signed was very clear. We can’t endorse an award that recognizes a group whose concerning policy positions include association with the BDS movement, elements of which I view as antisemitic. So for that reason we will not be rescinding the statement.""</p>"
Tufts University,4/24/2020,BDS,"<p>After SJP received ""The Collaboration Award"" from the Office of Student Life, President Monaco, Provost Aubry, Deans Glaser, Thompson and Qu released the <a href=""https://president.tufts.edu/news/2020/04/24/statement-on-student-organization-award/"" target=""_blank"">statement</a>: ""We strongly disapprove of this award in light of SJP’s concerning policy positions, including its association with the BDS movement, elements of which we view as anti-Semitic. We will be reviewing the awards process, which currently does not involve academic deans or senior university leadership and this year did not include students, in order to ensure proper oversight and review going forward. We as senior leaders take responsibility for this outcome, which should not have happened, and recognize that the award has caused a great deal of pain and concern for Jewish members of our community and others who share concerns about SJP’s policy positions, particularly in light of rising anti-Semitism in the U.S. and around the world.""</p>"
Point Park University,4/8/2020,BDS,"<p>Point Park University president Paul Hennigan issued a <a href=""https://jewishchronicle.timesofisrael.com/anti-semitism-in-all-forms-including-bds-has-no-place-at-point-park/"" target=""_blank"">statement</a> following the postponement of a Jewish play that stated, in part, ""As the president of Point Park University, I want to assure the Jewish community that at every level of the university and across the university campus it is understood that any form of discrimination or hatred is not tolerated. All forms of anti-Semitism, which includes support for the BDS movement, generally defined as Palestinian-led campaign promoting various forms of boycott against Israel, has no place at Point Park University.""</p>"
Columbia University/Barnard College,3/6/2020,BDS,"<p>Columbia President Lee Bollinger released a statement condemning antisemitism, and specifically an upcoming BDS resolution. The statement <a href=""https://president.columbia.edu/news/president-bollinger-condemns-anti-semitism-statement-senate-plenary"" target=""_blank"">read</a>: <br /><br />""I want to speak about a difficult matter—about a concern I have regarding the risk of a rising anti-Semitism on our campus. Any bigotry and prejudice toward groups is intolerable, especially (for all the obvious reasons) within a university, and we should be quick to condemn its presence in any form and in any context. In my life, I have tried to do so, whether it be racism, sexism, homophobia, anti-Arab, anti-Muslim, anti-Asian, or any other kind. Over the past year, I have increasingly become concerned about anti-Semitism, and I feel it is important for me to say something now. </p><p>There is an upcoming vote among undergraduate students on a proposal to recommend that the University divest from companies doing business with Israel involving the Palestinians in the West Bank and Gaza. There is no question that this is a highly contentious issue, both the underlying issues of Israel and the Palestinians and the idea of divestment as a means of protest about Israel’s policies. </p><p>I do not support the proposal for divestment. That is for two reasons. One is the longstanding understanding that the University should not change its investment policies on the basis of a political position unless there is a broad consensus within the institution that to do so is morally and ethically compelled. This is a necessary though not sufficient condition. I do not believe that consensus exists with respect to this proposal. </p><p>But I disagree on the merits, too. I believe this imposes a standard on this particular political issue that is not right when one considers similar issues in other countries and in other contexts around the world. To my mind that is unwise, analytically flawed, and violates my sense of fairness and proportionality. I well understand that some others whom I respect hold different views, but, if I am called upon to take a position, this is the one I have come to over the years. </p><p>My concern today, however, is not just with this proposal, but with the broader atmosphere in which this and other related issues are being debated. Feelings are charged. Divestment is a piece of a larger and controversial BDS movement. That movement is itself but a variant on a vast and ever-present debate about Israel, the West Bank and Gaza, the Middle East, the region and from there outward to the rest of the world. Critical matters are at stake, to be sure. But what must be avoided at all costs, and what I fear is happening today, is a process of mentality that goes from hard-fought debates about very real and vital issues to hostility and even hatred toward all members of groups of people simply by virtue of a religious, racial, national, or ethnic relationship. This must not happen. </p><p>No single issue is an island. When a swastika appears on campus, it is not just an isolated event. When there is a rising anti-Semitism in this country and around the world, even a single instance of it in any context is more alarming than it might otherwise be. </p><p>I plead with everyone on our campus to be careful and vigilant against legitimate debate turning into anger, then to hatred and demonization, and invidious discrimination. </p><p>I can say that Jewish students are feeling this, and it’s wrong. I feel it, and it’s wrong. We all feel it, and it’s wrong.""<br /></p>"
Dickinson College,2/27/2020,BDS,"<p>In response to a December 9 student resolution to boycott and remove Sabra Hummus from dining room shelves, Provost Neil Weissman reaffirmed the College's stance on BDS <a href=""https://thedickinsonian.com/news/2020/02/27/college-retains-boycott-policy/#"" target=""_blank"">explaining</a>, “We think boycotts interfere with the free flow of exchanges of ideas and peoples, and so we oppose them. [The current boycott policy] confirms our ongoing relationship with Israeli academic institutions. [The boycott policy was developed in 1907 when] a British entity was considering boycotting Israeli academic institutions. Dickinson college recommitted to the policy in 2014 in response to a resolution by the national American Studies Association to join the BDS movement.  [The boycott policy] applies to the College and its employees in their institutional capacities. [However], individual students, faculty and staff are free to make their own judgements. If students or anyone choose not to buy Sabra hummus, it’s their choice. But as far as I know, we are not intending to take it off the shelves. We’re strongly committed to the policy and intend to maintain it.""</p>"
Vassar College,11/18/2019,Disruption,"<p>President Bradley issued a second <a href=""https://miscellanynews.org/2019/11/18/opinions/letter-to-the-editor-president-bradley-releases-additional-statement-on-sjp-protest/"" target=""_blank"">statement</a> concerning an SJP disruption of a talk sponsored by VOICE (Vassar Organizing Israel Conversations Effectively) with Hen Mazzig that included chants of ""From the River to the Sea, Palestine Will Be Free"", holding posters claiming ""Resistance is not Terrorism,"" ""Palestinians are Indigenous"" ""SJP / BDS"" and ""Stop Pinkwashing""; as well as distributing fliers and playing music in front of the auditorium in Rockefeller Hall in protest of the event. President Bradley's second statement to address the disruption expressed, ""Last week’s event in which students chanted at an invited speaker was unacceptable. The student leadership had committed to upholding our practices of peaceful protest, including not disrupting the speaker. They broke that promise. Furthermore, protestors chose a chant that can be understood to be calling for the eradication of the State of Israel and is highly intimidating to Israelis and Jews, and directed it to an Israeli speaker discussing his perspective on Indigenous Jews. In the days following the incident, I have spent time speaking with and learning from students, faculty, alumnae/i and experts in the field, and I now believe the use of the chant—in this way, directed at this speaker—crossed the line into anti-Semitism. We have begun our adjudication processes, which by federal law are confidential. On this campus, we do not tolerate anti-Semitism, hate speech or discrimination of any kind. I am grateful that after the 15-minute disruption, the invited speaker was able to continue and deliver his presentation to an engaged audience of students, faculty and administrators. To sustain the intellectual community that is Vassar, we support an environment and structures in which free speech flourishes. Even controversial discussions will best confer learning and understanding when they are free from discrimination of all kinds."" <span></span></p>"
Vassar College,11/14/2019,Disruption,"<p>After SJP disrupted a talk sponsored by VOICE (Vassar Organizing Israel Conversations Effectively) with Hen Mazzig by chanting ""From the River to the Sea, Palestine Will Be Free"", holding posters claiming ""Resistance is not Terrorism,"" ""Palestinians are Indigenous"" ""SJP / BDS"" and ""Stop Pinkwashing""; as well as distributing fliers and playing music in front of the auditorium in Rockefeller Hall in protest of the event, President Bradley issued a <a href=""https://president.vassar.edu/point-of-view/191115-statement-of-vassar-college-president.html"" target=""_blank"">statement</a> to address the disruption. Her statement read, in part, ""A student group brought a speaker to campus, who gave a lecture on “The Indigenous Jews of the Middle East: Forgotten Refugees.”  A group of students disrupted the speaker by chanting outside the lecture hall for some time. People who were in the lecture expressed that the chanting was intimidating and hard to listen to. The words have been associated by some people with anti-Semitism. We have worked with student groups to promote peaceful dissent and assembly, and disrupting an invited speaker is antithetical to being a part of a learning community. We have protocols that allow for peaceful protest. At the core of these protocols is our unwavering belief that we cannot have a free exchange of ideas if we do not allow diverse perspectives to be heard. Students today knowingly violated those protocols, which is unacceptable. We will follow our internal processes to address the situation."" </p>"
University of Massachusetts Amherst,10/21/2019,BDS,"<p>In response to an upcoming event titled, ""The Attack on BDS and American Democracy,"" Chancellor Subbaswamy issued a <a href=""https://www.umass.edu/newsoffice/article/statement-university-massachusetts-amherst"" target=""_blank"">statement</a> that read in part, ""[W]hile UMass Amherst is firmly committed to the principles of free speech and academic freedom, the University remains firmly opposed to BDS and to academic boycotts of any kind. Academic boycotts are antithetical to academic freedom and it is ironic that individuals, who rely upon that very freedom to make their case, should advocate for a movement, in BDS, that seeks to suppress it. It is troubling that such a one-dimensional, polarizing event should take place on our campus. A panel discussion where only one perspective is shared does little to increase the understanding of such a complex topic like the Israeli-Palestinian conflict. Furthermore, because the BDS position in general fails to acknowledge the humanity on the Israeli side of the conflict and is considered by many as anti-Semitic, the upcoming event could very well alienate many of our Jewish students and other members of our campus community... while I wholeheartedly support freedom of speech for all, I also maintain that, as chancellor, I have a duty to be a voice for our campus’s values. And one of those values, which I think is critically important in ensuring a safe and welcoming living-learning community, is inclusion. We remain committed to ensuring an inclusive campus that will continue to prioritize the safety and security of all students.When outside organizations come onto our campus and give a high-profile platform for one-sided and divisive political positions that some view as deeply offensive, they are saying to valued members of our community that they don’t belong.  This is the antithesis of our commitment to inclusion, and we will not hesitate to speak out against efforts to divide our campus community.""</p>"
Claremont Colleges - Pitzer,5/29/2019,BDS,"<p>In an interview with <a href=""https://www.jns.org/american-and-israeli-college-presidents-unite-to-oppose-academic-boycotts/"" target=""_blank"">JNS</a> following a visit to the University of Haifa, which followed on the heels of a vetoed BDS vote led by Pitzer Faculty of the study abroad program there, President Oliver stated, “It was an uncomfortable situation. [Jewish students on campus felt singled out for] having positions that SJP gave to them or were assumed to have as defenders of Israel... As a deep believer in liberal arts education, which allows people to think independently, we found [these motions] of people who support the BDS movement profoundly confounding... If the motion had passed, it would have made it difficult to create trust, sociality and community [for Jewish and pro-Israel students on campus]. You cannot bring people together when there are winners and losers... We must preserve critical thinking over political issues. Once you go down that line, you are privileging certain kinds of thinking and excluding others, and sometimes you have to make decisions to stand on a higher level of principle to defend the university’s core mission [referring to his decision to veto the Faculty BDS vote].""</p>"
Northwestern University,5/24/2019,BDS,"<p>President Morton Schapiro and Provost Jonathan Holloway criticized incoming Medill Prof. Steven Thrasher for the comments he made during a NYU commencement speech that commended supporters of the BDS movement <a href=""https://news.northwestern.edu/stories/2019/05/steven-thrasher/"" target=""_blank"">stating</a>, ""Many were understandably offended by some of the comments made by Dr. Thrasher during his commencement speech at New York University earlier this week. We do not share all of his views, nor do we feel commencement was the appropriate venue to express them. However, academic freedom assures his right to hold them. While Dr. Thrasher will not be the first Northwestern faculty member who supports the Boycott, Divestment, Sanctions (BDS) movement, Northwestern as an institution unequivocally rejects BDS. To the contrary, we value our many relationships with a variety of universities and research centers in Israel.  As always, Northwestern remains firmly committed to diversity, equity and inclusion. Our goal as an institution is to work toward constructive engagement within the context of freedom of academic inquiry and expression. We expect all members of our community to promote these values in an environment free of coercion and intimidation.”</p>"
Claremont Colleges - Pitzer,5/28/2019,BDS,"<p>Following the Pitzer College Council's vote to suspend the study abroad program with the University of Haifa, and President Oliver's subsequent veto of the vote, President Oliver reconfirmed the harm of academic boycotts at an address at the University of Haifa where he <a href=""http://www.sdjewishworld.com/2019/05/28/pitzer-haifa-reaffirm-academic-ties/"" target=""_blank"">remarked</a>, “Academic boycotts of any nation set us on a path of breaking the free exchange of ideas. To boycott a country on the basis of their policies is by definition a blanket indictment of the nation itself, and by extension its citizens. This is whether we are talking about Israel and its immigration policies or the United States and its Muslim ban. I am here today to say thank you to the University of Haifa and President Robin for standing with us in the defense of the educational mission of both our institutions. It is a credit to your institution that in this debate, no one can point to any policies or actions by the University of Haifa that would even be remotely linked to a rationale of suspending our program. With your diverse student body, you are really a model institution for us to partner with and I hope we can continue for years to come.”<span></span></p>"
New York University,5/23/2019,BDS,"<p>NYU President Hamilton released a <a href=""http://www.nyu.edu/about/news-publications/news/2019/may/AH_Statement_on_GSAS_Doctoral_Speaker.html"" target=""_blank"">statement</a> following a student graduate speaker using his platform during graduation to support BDS that said, ""NYU rejects academic boycotts of Israel, rejects calls to close its Tel Aviv campus, and denounces efforts to ostracize or exclude those in the University community based on their location in Israel, their Israeli origin, or their political feelings for Israel.""</p>"
Cornell University,2/28/2019,BDS,"<p>In response to a SJP letter calling on Cornell to divest, President Pollack sent a reply <a href=""https://www.jns.org/cornell-president-rejects-bds-refuting-student-groups-push-to-divest-from-israel/"" target=""_blank"">letter</a> that strongly denounced BDS. The letter stated, “Cornell is an educational institution, and its primary purpose is to further the education of students, and the general public, through our teaching, research and engagement mission,” she continued. “Cornell is not primarily an agent to direct social or political action, but rather a neutral forum for analysis, debate and the search for truth. Similarly, the principal purpose of our endowment is to provide income for advancing our mission-related objectives and must not be viewed as a means of exercising political or social power... [BDS] places all of the responsibility for an extraordinarily complex geopolitical situation on just one country and frequently conflates the policies of the Israeli government with the very right of Israel to exist as a nation, which I find particularly troublesome. And, although not mentioned in your petition, the BDS movement, consistent with its name, calls for boycott, including academic boycott, which is at odds with Cornell’s core commitment to academic freedom and the open exchange of ideas.”</p>"
